,Rewards Steps
996,-12.0
997,-387.0
998,-36.0
999,-382.0
1000,-322.0
1001,-125.0
1002,-33.0
1003,-392.0
1004,-397.0
1005,-55.0
1006,-3.0
1007,253.0
1008,88.2
1009,86.82000000000001
1010,50.92000000000001
1011,-75.72
1012,-60.0
1013,-215.0
1014,-23.0
1015,-183.0
1016,-297.0
1017,-9.0
1018,-22.0
1019,-65.98
1020,-36.0
1021,-233.0
1022,268.0
1023,89.44000000000001
1024,42.25
1025,0.0
1026,126.0
1027,1.2399999999999949
1028,-15.0
1029,-30.0
1030,0.0
1031,-104.0
1032,-330.0
1033,176.0
1034,-156.96
1035,-261.0
1036,2.0
1037,-243.0
1038,0.0
1039,-51.0
1040,-178.0
1041,0.0
1042,-90.0
1043,-39.0
1044,-435.0
1045,-246.0
1046,-6.0
1047,12.0
1048,14.0
1049,296.0
1050,42.96
1051,114.0
1052,86.52
1053,161.0
1054,-138.71
1055,-303.0
1056,34.0
1057,0.0
1058,-66.0
1059,0.0
1060,-328.0
1061,0.0
1062,-372.0
1063,-135.0
1064,-354.0
1065,-303.0
1066,-402.0
1067,-414.0
1068,-350.0
1069,-426.0
1070,288.0
1071,119.05999999999999
1072,-219.0
1073,208.0
1074,72.24000000000001
1075,-361.92
1076,0.0
1077,298.0
1078,56.28
1079,-217.0
1080,204.0
1081,101.75999999999999
1082,-12.0
1083,206.0
1084,56.59
1085,209.28
1086,-113.22
1087,-279.45000000000005
1088,236.0
1089,77.80000000000001
1090,248.0
1091,53.56
1092,212.0
1093,88.44000000000001
1094,0.0
1095,206.0
1096,95.13
1097,14.84
1098,224.0
1099,78.28
1100,-318.0
1101,-9.0
1102,-286.2
1103,218.0
1104,-88.57999999999998
1105,28.75
1106,236.0
1107,77.44
1108,0.0
1109,0.0
1110,-303.0
1111,0.0
1112,0.0
1113,230.0
1114,82.55
1115,242.0
1116,-89.61
1117,167.48000000000002
1118,65.95
1119,-50.4
1120,149.5
1121,0.0
1122,-309.0
1123,0.0
1124,-327.0
1125,204.0
1126,108.0
1127,0.0
1128,-60.0
1129,212.0
1130,95.92
1131,-336.0
1132,206.0
1133,-15.509999999999991
1134,87.2
1135,0.0
1136,-309.0
1137,212.0
1138,94.64
1139,0.0
1140,0.0
1141,-318.0
1142,218.0
1143,-137.76
1144,209.3
1145,61.36
1146,242.0
1147,59.739999999999995
1148,212.0
1149,-135.96
1150,-298.91999999999996
1151,-32.0
1152,203.84
1153,-98.6
1154,-276.12
1155,-363.0
1156,248.0
1157,93.75999999999999
1158,193.5
1159,0.0
1160,-309.0
1161,0.0
1162,218.0
1163,66.08000000000001
1164,10.349999999999996
1165,236.0
1166,82.27999999999999
1167,22.320000000000007
1168,0.0
1169,258.0
1170,55.44
1171,268.0
1172,31.079999999999995
1173,24.439999999999998
1174,218.0
1175,68.38000000000001
1176,186.3
1177,99.11999999999999
1178,41.13999999999999
1179,0.0
1180,-381.0
1181,0.0
1182,0.0
1183,268.0
1184,114.24
1185,46.919999999999995
1186,280.0
1187,127.8
1188,172.79999999999998
1189,290.0
1190,10.3
1191,-318.0
1192,-309.0
1193,0.0
1194,213.0
1195,94.08
1196,0.0
1197,-309.0
1198,0.0
1199,218.0
1200,91.83999999999999
1201,-345.0
1202,-309.0
1203,-318.0
1204,218.0
1205,91.83999999999999
1206,-345.0
1207,206.0
1208,99.22999999999999
1209,218.0
1210,84.46
1211,212.0
1212,90.64
1213,0.0
1214,-309.0
1215,212.0
1216,95.92
1217,224.0
1218,78.28
1219,212.0
1220,90.64
1221,202.0
1222,94.76
1223,212.0
1224,88.08
1225,212.0
1226,90.64
1227,212.0
1228,90.64
1229,212.0
1230,90.64
1231,212.0
1232,90.64
1233,212.0
1234,90.64
1235,212.0
1236,90.64
1237,204.0
1238,97.56
1239,0.0
1240,206.0
1241,99.64
1242,202.0
1243,100.94
1244,204.0
1245,72.91999999999999
1246,114.48
1247,218.0
1248,84.46
1249,212.0
1250,90.64
1251,212.0
1252,90.64
1253,0.0
1254,206.0
1255,99.64
1256,0.0
1257,206.0
1258,99.64
1259,218.0
1260,84.46
1261,212.0
1262,90.64
1263,212.0
1264,83.28
1265,25.480000000000004
1266,218.0
1267,84.0
1268,212.0
1269,86.24
1270,212.0
1271,90.64
1272,212.0
1273,90.64
1274,212.0
1275,90.64
1276,212.0
1277,90.64
1278,212.0
1279,90.64
1280,0.0
1281,206.0
1282,-10.810000000000002
1283,82.84
1284,224.0
1285,78.28
1286,0.0
1287,0.0
1288,32.0
1289,218.0
1290,91.83999999999999
1291,230.0
1292,72.1
1293,212.0
1294,90.64
1295,116.0
1296,189.52
1297,82.68
1298,218.0
1299,84.46
1300,4.0
1301,206.0
1302,99.64
1303,198.0
1304,105.06
1305,0.0
1306,0.0
1307,0.0
1308,-327.0
1309,224.0
1310,85.72
1311,2.0
1312,0.0
1313,0.0
1314,74.0
1315,0.0
1316,230.0
1317,82.6
1318,242.0
1319,61.42999999999999
1320,0.0
1321,106.0
1322,-308.46
1323,0.0
1324,224.0
1325,87.4
1326,0.0
1327,0.0
1328,196.0
1329,113.36
1330,0.0
1331,202.0
1332,103.41
1333,0.0
1334,0.0
1335,212.0
1336,95.92
1337,0.0
1338,0.0
1339,212.0
1340,94.64
1341,0.0
1342,10.0
1343,212.0
1344,95.60000000000001
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,6.0
1358,0.0
1359,0.0
1360,-9.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,44.0
1366,0.0
1367,298.0
1368,78.64
1369,26.0
1370,0.0
1371,0.0
1372,0.0
1373,68.0
1374,186.0
1375,102.57
1376,81.64
1377,0.0
1378,206.0
1379,68.07
1380,58.8
1381,192.45
1382,74.0
1383,58.120000000000005
1384,7.450000000000003
1385,0.0
1386,254.0
1387,80.11
1388,116.14
1389,130.4
1390,48.010000000000005
1391,0.0
1392,0.0
1393,212.0
1394,88.88
1395,32.269999999999996
1396,0.0
1397,0.0
1398,0.0
1399,0.0
1400,224.0
1401,82.92
1402,14.45
1403,0.0
1404,120.0
1405,10.599999999999998
1406,0.0
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,276.0
1418,80.96000000000001
1419,8.0
1420,191.0
1421,68.5
1422,56.260000000000005
1423,196.24
1424,102.47999999999999
1425,38.25
1426,82.0
1427,164.0
1428,70.32
1429,128.79
1430,93.66
1431,85.96
1432,76.88
1433,95.28999999999999
1434,56.7
1435,134.0
1436,23.420000000000005
1437,0.0
1438,188.0
1439,71.39999999999999
1440,222.26
1441,104.14999999999999
1442,94.47999999999999
1443,105.36000000000001
1444,36.120000000000005
1445,166.0
1446,63.28
1447,140.64000000000001
1448,101.19999999999999
1449,75.6
1450,67.60000000000001
1451,183.04
1452,86.24
1453,93.17999999999999
1454,111.41
1455,70.23
1456,240.0
1457,65.5
1458,58.68
1459,63.040000000000006
1460,37.68
1461,124.0
1462,171.44
1463,63.69000000000001
1464,35.8
1465,128.0
1466,19.26
1467,102.0
1468,145.01999999999998
1469,43.839999999999996
1470,22.0
1471,62.0
1472,150.0
1473,56.0
1474,60.0
1475,62.0
1476,-203.0
1477,172.0
1478,103.36000000000001
1479,83.1
1480,54.89999999999999
1481,82.0
1482,146.0
1483,135.14
1484,82.0
1485,51.8
1486,160.0
1487,71.1
1488,280.44
1489,276.0
1490,34.96
1491,134.0
1492,133.73
1493,56.14999999999999
1494,110.8
1495,121.28
1496,96.92000000000002
1497,93.33999999999999
1498,108.82
1499,26.0
1500,180.0
1501,55.2
1502,84.8
1503,48.0
1504,140.0
1505,29.199999999999996
1506,160.0
1507,139.5
1508,73.14
1509,22.0
1510,58.0
1511,152.0
1512,91.78
1513,71.96000000000001
1514,43.93
1515,68.0
1516,30.0
1517,92.0
1518,98.0
1519,202.0
1520,119.96
1521,154.0
1522,105.16
1523,87.44
1524,79.5
1525,111.5
1526,162.0
1527,83.28999999999999
1528,34.13
1529,84.0
1530,214.0
1531,73.67
1532,119.2
1533,80.67
1534,88.37
1535,84.28
1536,83.0
1537,116.44
1538,123.33
1539,16.0
1540,84.0
1541,34.0
1542,14.0
1543,210.0
1544,88.45
1545,87.45
1546,112.2
1547,81.35000000000001
1548,51.300000000000004
1549,20.0
1550,236.0
1551,90.27999999999999
1552,104.5
1553,101.39999999999999
1554,92.49000000000001
1555,170.0
1556,93.05
1557,60.05
1558,117.96
1559,144.35
1560,76.78
1561,77.91999999999999
1562,123.98
1563,61.74
1564,52.60000000000001
1565,166.0
1566,77.9
1567,207.54
