,Rewards Episodi,actor_losses,critic_losses
219,1805.6200000000001,"tf.Tensor(-63.23905, shape=(), dtype=float32)","tf.Tensor(2700.8838, shape=(), dtype=float32)"
220,637.38,"tf.Tensor(-19.116388, shape=(), dtype=float32)","tf.Tensor(785.1169, shape=(), dtype=float32)"
221,456.53000000000003,"tf.Tensor(-12.781389, shape=(), dtype=float32)","tf.Tensor(429.27075, shape=(), dtype=float32)"
222,449.19,"tf.Tensor(-12.810553, shape=(), dtype=float32)","tf.Tensor(499.5469, shape=(), dtype=float32)"
223,721.9200000000001,"tf.Tensor(-22.483252, shape=(), dtype=float32)","tf.Tensor(837.5739, shape=(), dtype=float32)"
224,433.66999999999996,"tf.Tensor(-12.884744, shape=(), dtype=float32)","tf.Tensor(526.2407, shape=(), dtype=float32)"
225,1385.7700000000002,"tf.Tensor(-42.078495, shape=(), dtype=float32)","tf.Tensor(1658.9247, shape=(), dtype=float32)"
226,652.1999999999999,"tf.Tensor(-19.526068, shape=(), dtype=float32)","tf.Tensor(817.5098, shape=(), dtype=float32)"
227,823.3599999999999,"tf.Tensor(-22.867043, shape=(), dtype=float32)","tf.Tensor(840.01166, shape=(), dtype=float32)"
228,435.26000000000005,"tf.Tensor(-13.10644, shape=(), dtype=float32)","tf.Tensor(389.75443, shape=(), dtype=float32)"
229,405.6,"tf.Tensor(-13.13282, shape=(), dtype=float32)","tf.Tensor(462.21417, shape=(), dtype=float32)"
230,300.15999999999997,"tf.Tensor(-6.5763392, shape=(), dtype=float32)","tf.Tensor(292.51538, shape=(), dtype=float32)"
231,445.65,"tf.Tensor(-13.172654, shape=(), dtype=float32)","tf.Tensor(481.42218, shape=(), dtype=float32)"
232,670.0999999999999,"tf.Tensor(-23.116783, shape=(), dtype=float32)","tf.Tensor(864.3175, shape=(), dtype=float32)"
233,424.07,"tf.Tensor(-13.24762, shape=(), dtype=float32)","tf.Tensor(672.4581, shape=(), dtype=float32)"
234,791.88,"tf.Tensor(-23.250555, shape=(), dtype=float32)","tf.Tensor(796.7455, shape=(), dtype=float32)"
235,457.38,"tf.Tensor(-13.32454, shape=(), dtype=float32)","tf.Tensor(545.55396, shape=(), dtype=float32)"
236,328.45,"tf.Tensor(-10.012038, shape=(), dtype=float32)","tf.Tensor(403.84628, shape=(), dtype=float32)"
237,301.31,"tf.Tensor(-6.683884, shape=(), dtype=float32)","tf.Tensor(175.84262, shape=(), dtype=float32)"
238,302.64,"tf.Tensor(-6.690971, shape=(), dtype=float32)","tf.Tensor(256.79962, shape=(), dtype=float32)"
239,465.0,"tf.Tensor(-13.403503, shape=(), dtype=float32)","tf.Tensor(441.308, shape=(), dtype=float32)"
240,302.28,"tf.Tensor(-6.71243, shape=(), dtype=float32)","tf.Tensor(219.94711, shape=(), dtype=float32)"
241,354.85999999999996,"tf.Tensor(-10.082342, shape=(), dtype=float32)","tf.Tensor(351.2921, shape=(), dtype=float32)"
242,467.1,"tf.Tensor(-16.84, shape=(), dtype=float32)","tf.Tensor(627.39264, shape=(), dtype=float32)"
